name;owner;url;created_at;stars;releases_count;pushed_at;pull_requests_count;merged_pull_requests_count;primary_language;issues_count;closed_issues_count
build-your-own-x;codecrafters-io;https://github.com/codecrafters-io/build-your-own-x;2018-05-09T12:03:18Z;540861;0;2026-07-14T19:25:58Z;743;157;Markdown;947;677
awesome;sindresorhus;https://github.com/sindresorhus/awesome;2014-07-11T13:42:37Z;497400;0;2026-08-18T13:28:50Z;2511;701;;368;352
public-apis;public-apis;https://github.com/public-apis/public-apis;2016-03-20T23:49:42Z;464450;0;2026-08-18T19:20:39Z;5309;2147;Python;937;910
freeCodeCamp;freeCodeCamp;https://github.com/freeCodeCamp/freeCodeCamp;2014-12-24T17:49:19Z;454276;0;2026-08-18T21:03:08Z;46551;29113;TypeScript;22062;21898
free-programming-books;EbookFoundation;https://github.com/EbookFoundation/free-programming-books;2013-10-11T06:50:37Z;394701;0;2026-08-18T14:16:15Z;11777;7423;Python;1293;1255
openclaw;openclaw;https://github.com/openclaw/openclaw;2025-11-24T10:16:47Z;386668;234;2026-08-18T22:21:00Z;76100;26168;TypeScript;47517;44027
developer-roadmap;nilbuild;https://github.com/nilbuild/developer-roadmap;2017-03-15T13:45:52Z;364862;1;2026-08-18T11:56:04Z;6249;4399;TypeScript;3185;3185
system-design-primer;donnemartin;https://github.com/donnemartin/system-design-primer;2017-02-26T16:15:28Z;364674;0;2026-03-20T01:52:19Z;716;210;Python;402;127
coding-interview-university;jwasham;https://github.com/jwasham/coding-interview-university;2016-06-06T02:34:12Z;359156;0;2025-08-28T14:42:47Z;1057;415;;536;455
awesome-python;vinta;https://github.com/vinta/awesome-python;2014-06-27T21:00:06Z;314695;0;2026-08-16T13:31:43Z;2564;741;Python;0;0
awesome-selfhosted;awesome-selfhosted;https://github.com/awesome-selfhosted/awesome-selfhosted;2015-06-01T02:33:17Z;313525;1;2026-08-17T08:30:25Z;0;0;;0;0
project-based-learning;practical-tutorials;https://github.com/practical-tutorials/project-based-learning;2017-04-12T05:07:46Z;279792;0;2026-08-17T06:46:47Z;582;194;Python;239;88
996.ICU;996icu;https://github.com/996icu/996.ICU;2019-03-26T07:31:14Z;276700;0;2025-08-22T06:01:29Z;2001;1072;;0;0
superpowers;obra;https://github.com/obra/superpowers;2025-10-09T19:45:18Z;273653;12;2026-08-13T00:36:31Z;1137;167;Shell;852;715
